"Specimen.ID","Taxon","d18O"
"60378-a","Glyptops sp.",14.84541451
"60386-a","Glyptops sp.",12.76557415
"60386-b","Glyptops sp.",13.12658347
"60444-a","Glyptops sp.",14.16793479
"60447-a","Glyptops sp.",14.42850063
"61401-a","Glyptops sp.",11.14313235
"61402-a","Glyptops sp.",16.125960765
"61224-a","Neosuchian A",15.33293958
"61224-b","Neosuchian A",15.09904066
"61283-a","Neosuchian A",17.24106161
"61283-b","Neosuchian A",16.86220959
"61284-a","Neosuchian A",15.58637508
"61286-a","Neosuchian A",16.92962087
"61286-b","Neosuchian A",18.3246319
"61286-c","Neosuchian A",15.49069451
"61286-d","Neosuchian A",23.14423417
"UNCAT002-a","Neosuchian A",16.16911066
"UNCAT003-a","Neosuchian A",17.96348348
"61289-a","Neosuchian B",14.93984365
"61289-b","Neosuchian B",16.43437907
"61289-c","Neosuchian B",18.13089755
"61289-d","Neosuchian B",18.59894675
"61289-e","Neosuchian B",18.2587364
"61289-f","Neosuchian B",16.38939855
"61289-g","Neosuchian B",13.13811675
"61289-h","Neosuchian B",19.19894981
"61289-i","Neosuchian B",16.87756027
"61289-j","Neosuchian B",14.96614076
"61327-a","Neosuchian B",15.48203693
"60433-a","Neosuchian G",17.40248992
"60433-b","Neosuchian G",12.82166679
"60433-c","Neosuchian G",13.22586145
"60433-e","Neosuchian G",10.26975838
"60433-f","Neosuchian G",9.753627578
"60433-g","Neosuchian G",13.38731078
"60442-a","Neosuchian G",13.046698835
"61309-a","Neosuchian G",17.24457823
"61309-b","Neosuchian G",16.93901814
"61309-d","Neosuchian G",15.8785373
"61399-b","Neosuchian G",10.97414118
"61399-a","Neosuchian G",17.61436836
"27858-c","Lepisosteids",13.25065404
"27858-d","Lepisosteids",15.55814106
"27858-f","Lepisosteids",12.10134695
"27858-h","Lepisosteids",14.12119185
"27873-a","Lepisosteids",14.7533333333333
"27873-b","Lepisosteids",13.77
"27873-c","Lepisosteids",12.99
"27873-d","Lepisosteids",15.57
"27873-e","Lepisosteids",15.42
"27873-j","Lepisosteids",15.65
"61221-a","Lepisosteids",14.21929209
"61221-b","Lepisosteids",12.60158682
"61221-c","Lepisosteids",14.76139967
"61221-e","Lepisosteids",14.87163958
"61573-a","Lepisosteids",13.99884977
"61573-b","Lepisosteids",11.52110142
"61573-c","Lepisosteids",9.468175898
"60391-a","Allosauroid",14.72616354
"60430-b","Ornithischians",19.53171901
"61341-a","Ornithischians",17.02903048
"61389-a","Ornithischians",14.17646587
"80794-a","Ornithischians",13.795
"80795-c","Ornithischians",13.53
"80795-d","Ornithischians",15.89
"60422-a","Sauropods",15.99889522
"60423-a","Sauropods",18.99983903
"60427-a","Sauropods",16.5326545
"60482-a","Sauropods",21.78768467
"60484-a","Sauropods",18.59571597
"61220-a","Sauropods",19.1076203
"UNCAT001-a","Sauropods",15.13298883
"80859-a","Hybodonts",10.8
"80859-b","Hybodonts",15.27
"80859-c","Hybodonts",9.77
"60406-a","Maniraptorans",14.22288194
"60406-b","Maniraptorans",17.55405804
"60406-c","Maniraptorans",13.71248653
"60406-e","Maniraptorans",23.22319825
"61348-a","Maniraptorans",13.65553388
"61351-a","Maniraptorans",12.72700545
"61352-a","Maniraptorans",17.16617443
"61355-a","Maniraptorans",14.30604066
"61357-a","Maniraptorans",13.8523666
"61361-a","Maniraptorans",17.44573973
"60379-a","Naomichelys sp.",13.29354208
"60379-b","Naomichelys sp.",13.77083135
"60379-c","Naomichelys sp.",14.06762098
"60379-d","Naomichelys sp.",15.02865964
"60379-e","Naomichelys sp.",14.1069935
"60379-h","Naomichelys sp.",14.30036154
"60379-i","Naomichelys sp.",14.15635209
"60379-j","Naomichelys sp.",14.81588951
"60379-m","Naomichelys sp.",14.93893865
"60379-r","Naomichelys sp.",14.91338284
